"SourceRelativePath","LengthBytes","SHA256","InclusionReason"
"ABI-V3-LAYOUT.md","1788","93375956AB8234537EE9930C2815A10C7254368AFC8711015D245E8EA6FD9640","Required architecture/implementation documentation"
"CURSOR-RESOURCE-OWNERSHIP.md","1774","92A76995AE2D7E94A3EA42D6D228382C21DA4C888203B3FA18C5AA086374EC2B","Required architecture/implementation documentation"
"global.json","108","402D12672A02D69712D1C2C1FA20F87E9F9C260A4E1F1ECF73432D0AEEF8A249",".NET SDK pin"
"P2.2A-SPIKE-A1-IMPLEMENTATION.md","8364","FD5895F6CB543B4902AEE4C64F5CB791A5EF84A72DF8A543FAC335F446093423","Required architecture/implementation documentation"
"P2.2B-SPIKE-A2-IMPLEMENTATION.md","8462","47E4F0EAC5A6245E8FF841EA644F00A44E4D6045877A0FDFCC7E264248EF5A29","Required architecture/implementation documentation"
"P2.3A-OUTPUT-CANVAS-IMPLEMENTATION.md","5750","CED9BB8FB86BB3329BB2B9CF246D0DCC81ADF4CBC6CA51CCBC39656044FB9E9E","Required architecture/implementation documentation"
"P2.3B-RENDER-FRAME-TAP-IMPLEMENTATION.md","7173","2E481F7A79B94DE073DF84EBED534519569321ABF4634FC8A816F1C67E5AB4E7","Required architecture/implementation documentation"
"P2.4-OUTPUTCANVAS-ENCODING-IMPLEMENTATION.md","13881","3F6F89C47D494F5AB4542ABA4EB9CAF7C708FF0E283B7353717F602DAB09ABB8","Required architecture/implementation documentation"
"P2.4Q-CROP-UV-QUALITY-AB.md","2656","8D77235D8AA9B40942712789CBC5F8483D60E3381B4ECF4C131861EA7E3D6D4D","Required architecture/implementation documentation"
"SELF-TEST-P2.bat","13599","5BFFF4DA68E7066EB87A33B17E1E2E86D6ED817BABB256CFF0AEE2969035A3BE","P2 self-test entry script"
"spikes\P2.4Q-CropUvQualityAB\main.cpp","55758","483CC05DE205DFC17AD2A42E85299BA351CEE5DF6102D57CF8AA03CA2DA364CA","P2.4Q source-level crop UV regression tool"
"spikes\P2.4Q-CropUvQualityAB\P2.QualityAB.CropUv.vcxproj","3226","3B36E2213A39BA82E80EE04F61DF094737CDC602B248FD1C5265A1DD1B122088","P2.4Q source-level crop UV regression tool"
"spikes\P2.4Q-CropUvQualityAB\RUN-P2.4Q-CROP-UV-AB.ps1","3984","E65814C16464A6AB594C506CA08A22E1318E6C0D81983D87A1F6822752C2CA84","P2.4Q source-level crop UV regression tool"
"VERIFY-P2-STATIC.ps1","88426","8654AA90F9159AFA27845DB3820843C0EDE973FFEEF1848B1DBFEA92E1561027","P2 static/governance verification script"
"XbPreview.Host\app.manifest","950","B779917DC2CE733428315D6999337C7B52F573664046BAB27F9CC590CE1DC96D","Product managed host source/project"
"XbPreview.Host\CameraCommand.cs","947","C075C2D5725EF6DB78BF6461088DDC3259F86418135DC7E397C7A0E994BF875E","Product managed host source/project"
"XbPreview.Host\CameraCursorTarget.cs","4242","765D2C8815D2E95275840B77E230B8FC8AA5EF45F314BF0927532332DE413880","Product managed host source/project"
